id,idx_1,word_1,idx_2,word_2
791,32,shocked,39,worried
792,33,skeptical,33,skeptical
793,33,skeptical,34,surprised
794,33,skeptical,35,sympathetic
795,33,skeptical,36,thankful
796,33,skeptical,37,uncertain
797,33,skeptical,38,urgent
798,33,skeptical,39,worried
799,34,surprised,34,surprised
800,34,surprised,35,sympathetic
801,34,surprised,36,thankful
802,34,surprised,37,uncertain
803,34,surprised,38,urgent
804,34,surprised,39,worried
805,35,sympathetic,35,sympathetic
806,35,sympathetic,36,thankful
807,35,sympathetic,37,uncertain
808,35,sympathetic,38,urgent
809,35,sympathetic,39,worried
810,36,thankful,36,thankful
811,36,thankful,37,uncertain
812,36,thankful,38,urgent
813,36,thankful,39,worried
814,37,uncertain,37,uncertain
815,37,uncertain,38,urgent
816,37,uncertain,39,worried
817,38,urgent,38,urgent
818,38,urgent,39,worried
819,39,worried,39,worried
